ticker,name,Sector,SubIndustry,Address,tech
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",0
FE,FirstEnergy Corp,Utilities,Multi-Utilities & Unregulated Power,"Akron, Ohio",0
FFIV,F5 Networks,Information Technology,Networking Equipment,"Seattle, Washington",0
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,"Jacksonville, Florida",1
FISV,Fiserv Inc,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",1
FITB,Fifth Third Bancorp,Financials,Banks,"Cincinnati, Ohio",0
FLIR,FLIR Systems,Industrials,Aerospace & Defense,"Wilsonville, Oregon",0
FLR,Fluor Corp.,Industrials,Diversified Commercial Services,"Irving, Texas",0
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",0
FMC,FMC Corporation,Materials,Diversified Chemicals,"Philadelphia, Pennsylvania",0
FOSL,"Fossil, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Richardson, Texas",0
FOXA,Twenty-First Century Fox,Consumer Discretionary,Publishing,"New York, New York",0
FRX,Forest Laboratories,Health Care,Pharmaceuticals,"New York, New York",0
FSLR,First Solar Inc,Industrials,Heavy Electrical Equipment,"Tempe, Arizona",0
FTI,FMC Technologies Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",0
FTR,Frontier Communications,Telecommunications Services,Integrated Telecommunications Services,"Stamford, Connecticut",0
GAS,AGL Resources Inc.,Utilities,Gas Utilities,"Atlanta, Georgia",0
GCI,Gannett Co.,Consumer Discretionary,Publishing,"McLean, Virginia",0
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",0
GE,General Electric,Industrials,Industrial Conglomerates,"Fairfield, Connecticut",0
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",0
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",0
GLW,Corning Inc.,Industrials,Construction & Engineering,"Corning, New York",0
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",0
GME,GameStop Corp.,Consumer Discretionary,Specialty Stores,"Grapevine, Texas",0
GNW,Genworth Financial Inc.,Financials,Life & Health Insurance,"Richmond, Virginia",0
GOOG,Google Inc.,Information Technology,Internet Software & Services,"Mountain View, California",1
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",0
GPS,Gap (The),Consumer Discretionary,Apparel Retail,"San Francisco, California",0
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",0
GS,Goldman Sachs Group,Financials,Diversified Financial Services,"New York, New York",0
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",0
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Materials,"Lake Forest, Illinois",0
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",0
HAR,Harman Int'l Industries,Consumer Discretionary,Consumer Electronics,"Stamford, Connecticut",0
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",0
HBAN,Huntington Bancshares,Financials,Banks,"Columbus, Ohio",0
HCBK,Hudson City Bancorp,Financials,Banks,"Paramus, New Jersey",0
HCN,Health Care REIT,Financials,REITs,"Toledo, Ohio[3]",0
HCP,HCP Inc.,Financials,REITs,"Long Beach, California",0
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Cobb County, Georgia",0
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",0
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",0
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",0
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",0
